Kommunistinen Työväenpuolue;-;-;-
Suomen Kansa Ensin;1;5;1
Suomen Kommunistinen Puolue;5;1;5
Kommunistinen Työväenpuolue;5;2;2
SDP;4;4;2
Vasemmistoliitto;5;2;4
Liberaalipuolue;5;2;5
Liike Nyt;4;4;4
Vasemmistoliitto;5;2;4
Perussuomalaiset;1;5;1
SDP;5;4;4
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;2;4
Liike Nyt;4;2;2
Liike Nyt;5;2;5
Liike Nyt;1;1;1
Liike Nyt;2;4;2
Liike Nyt;5;4;4
Vasemmistoliitto;5;2;5
Itsenäisyyspuolue;-;-;-
SDP;5;2;5
Liike Nyt;4;5;1
Kristillisdemokraatit;4;5;1
Sininen tulevaisuus;-;-;-
Sininen tulevaisuus;2;5;1
Kokoomus;5;4;1
Sininen tulevaisuus;5;4;5
Sininen tulevaisuus;4;5;1
Sininen tulevaisuus;4;5;1
Sininen tulevaisuus;-;-;-
RKP;4;2;4
RKP;5;4;2
Kokoomus;4;2;2
Perussuomalaiset;1;5;1
Sininen tulevaisuus;2;5;1
RKP;-;-;-
SDP;5;4;1
RKP;5;4;5
RKP;5;2;1
Kokoomus;4;4;2
Suomen Kommunistinen Puolue;5;2;5
Kristillisdemokraatit;2;4;2
Kristillisdemokraatit;2;4;1
SDP;5;4;2
SDP;5;2;4
Keskusta;4;2;2
Liike Nyt;4;2;2
Seitsemän tähden liike;5;5;1
Seitsemän tähden liike;1;1;1
Suomen Kansa Ensin;1;5;1
Seitsemän tähden liike;-;-;-
Suomen Kansa Ensin;2;5;1
Seitsemän tähden liike;-;-;-
Seitsemän tähden liike;1;5;1
Seitsemän tähden liike;4;2;2
Seitsemän tähden liike;1;5;1
Seitsemän tähden liike;-;-;-
Seitsemän tähden liike;1;4;1
Seitsemän tähden liike;5;2;5
Seitsemän tähden liike;1;5;1
Seitsemän tähden liike;-;-;-
Seitsemän tähden liike;-;-;-
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;2;5
Vihreät;5;1;5
Vihreät;5;1;5
Vihreät;5;2;5
Kristillisdemokraatit;2;5;2
Eläinoikeuspuolue;5;2;5
Perussuomalaiset;1;5;1
Kristillisdemokraatit;4;4;2
Kristillisdemokraatit;4;4;2
Kokoomus;5;4;2
Keskusta;2;5;1
Vihreät;5;1;5
Seitsemän tähden liike;1;5;1
Vihreät;5;1;5
Perussuomalaiset;1;4;1
Kokoomus;2;5;1
RKP;4;4;4
Vasemmistoliitto;5;1;5
Seitsemän tähden liike;4;5;1
Perussuomalaiset;1;5;1
Itsenäisyyspuolue;4;5;1
RKP;5;2;4
